sp1,sp2,ghm_class,tte,antag,id
BEAR,COYOTE,Low,16162.4,3,2
BEAR,DEER,Low,15834.602777777776,2,2
BEAR,RACCOON,Low,7832.974242424242,2,2
BEAR,HARE,Low,788.35,2,2
BEAR,SQUIRRELS,Low,24730.6625,2,2
BOBCAT,COYOTE,High,12626.733333333334,2,1
BOBCAT,COYOTE,Low,23111.366666666665,2,2
BOBCAT,DEER,High,5394.033333333334,2,1
BOBCAT,DEER,Low,4333.3099999999995,2,2
COTTONTAIL,COYOTE,High,7205.289130434782,3,1
COTTONTAIL,DEER,High,4530.694025157232,1,1
COTTONTAIL,DEER,Low,4976.933333333333,1,2
COTTONTAIL,RED FOX,High,5151.692857142857,3,1
COTTONTAIL,OPOSSUM,High,13627.84888888889,1,1
COTTONTAIL,RACCOON,High,3418.59962962963,1,1
COTTONTAIL,SKUNK,High,54229.683333333334,1,1
COTTONTAIL,HARE,High,32314.916666666668,1,1
COTTONTAIL,SQUIRRELS,High,6922.365384615385,1,1
COTTONTAIL,TURKEY,High,13311.22037037037,1,1
COYOTE,DEER,High,7922.119607843138,3,1
COYOTE,DEER,Low,11850.698039215686,3,2
COYOTE,RED FOX,High,12701.333333333332,3,1
COYOTE,OPOSSUM,High,10929.610606060607,3,1
COYOTE,RACCOON,High,7125.838164251208,2,1
COYOTE,RACCOON,Low,9328.525,2,2
COYOTE,SQUIRRELS,High,6980.1874358974355,3,1
COYOTE,SQUIRRELS,Low,19375.51111111111,3,2
COYOTE,TURKEY,High,21079.133333333335,2,1
COYOTE,TURKEY,Low,23650.75,2,2
COYOTE,WOLF,Low,17817.166666666668,3,2
CRANE,DEER,High,2816.2,1,1
CRANE,DEER,Low,1991.1537878787879,1,2
CRANE,RACCOON,High,1793.8766666666668,1,1
DEER,FISHER,Low,1135.6666666666667,2,2
DEER,RED FOX,High,3249.035714285714,2,1
DEER,OPOSSUM,High,7786.420833333334,1,1
DEER,PORCUPINE,Low,3767.9666666666667,1,2
DEER,RACCOON,High,2675.385619735259,1,1
DEER,RACCOON,Low,14547.797916666668,1,2
DEER,SKUNK,High,17668.833333333332,1,1
DEER,HARE,High,608.05,1,1
DEER,HARE,Low,8331.627777777778,1,2
DEER,SQUIRRELS,High,3660.455882352941,1,1
DEER,SQUIRRELS,Low,15344.419047619047,1,2
DEER,TURKEY,High,7273.228205128205,1,1
DEER,TURKEY,Low,688.05,1,2
DEER,WOLF,Low,9360.785897435897,3,2
DEER,WOODCHUCK,High,14392.827777777778,1,1
RED FOX,OPOSSUM,High,4540.655555555555,2,1
RED FOX,RACCOON,High,8008.541666666667,2,1
RED FOX,SQUIRRELS,High,5998,3,1
RED FOX,TURKEY,High,7966.466666666665,2,1
OPOSSUM,RACCOON,High,7419.226190476191,3,1
OPOSSUM,SKUNK,High,48881.8,2,1
OPOSSUM,SQUIRRELS,High,8179.445597484277,1,1
OPOSSUM,TURKEY,High,15282.807142857142,1,1
RACCOON,SKUNK,High,4648.784722222223,3,1
RACCOON,HARE,High,331.0833333333333,1,1
RACCOON,SQUIRRELS,High,3346.9569395017793,1,1
RACCOON,SQUIRRELS,Low,24730.6625,1,2
RACCOON,TURKEY,High,4254.385714285714,1,1
RACCOON,WOLF,Low,29344.5,3,2
RACCOON,WOODCHUCK,High,12031.842592592593,1,1
SKUNK,SQUIRRELS,High,6255.659722222223,1,1
HARE,SQUIRRELS,High,3.7,1,1
HARE,SQUIRRELS,Low,9354.325,1,2
SQUIRRELS,TURKEY,High,6270.065517241379,1,1
SQUIRRELS,WOODCHUCK,High,17936.723611111112,1,1
